m1,m2,x1_0,x2_0,v1_0,v2_0,t,x1_t,x2_t
6.181841061490158,0.41205488417951563,"[4.017415697898661, -4.660773357724626]","[-7.3992328655707436, 8.540272985885473]","[4.327028275732838, 2.8529946871491667]","[1.4316330001889277, -4.9479421626664735]",24.310360888551116,"[109.09383675341769, 64.68910128752823]","[29.13253511196562, -111.63413104100174]"
5.213318956919009,7.2509719156087815,"[2.828018410408566, 7.644455484569264]","[-5.191226842930064, 9.022171613007504]","[1.9769876705653733, 4.242034156621747]","[4.589378502474336, -0.32789315995623536]",41.34910019463836,"[75.49938786144656, 170.1482216390802]","[191.1004169872224, 4.739333972987359]"
4.727286269551547,7.069109884076082,"[3.5020316529200084, 8.664506808403594]","[-4.83735787249127, 3.8415178240655763]","[-1.009151105237672, -1.1344949431157278]","[-2.208026419822403, -2.3233461930082298]",24.676063794561646,"[-27.383636417430743, -23.621471893005857]","[-55.32125160589055, -50.619951683918565]"
5.113387659188628,9.529200753216545,"[-5.015263055012602, 1.2187383478983964]","[1.722233047908695, 6.820850692599805]","[-2.168988221985324, -3.4142000846240794]","[3.2669322342972222, -1.9553569655349765]",29.220811533201402,"[-64.02754157513886, -96.15278092342646]","[94.84113307548688, -51.600987215879464]"
6.614977816854458,9.401661946449783,"[1.2672197847822968, -8.342072648354826]","[-5.098691263652697, 4.999887871366202]","[-2.3551594880827196, -1.9816890480986182]","[-2.914785190493263, 2.015471522181085]",17.714116493768238,"[-41.056782909230684, -41.72059875075166]","[-56.306258537462895, 39.48823856572001]"
9.746871936286347,7.979692247643069,"[6.910656813876933, -2.1178531803780203]","[1.4809803111489828, -3.3707848401149327]","[-0.6118428983072519, -1.3322074266119355]","[3.9119769298952285, -2.4956604684734485]",29.461652848118344,"[-1.643863467329117, -77.43870882165884]","[105.1653748606046, -32.836791733960986]"
9.772319151178667,1.662859996549347,"[2.578915302086294, 4.679178683784851]","[-1.9896862813759277, 2.0231991328900207]","[-2.349039385890838, 4.3519518897289835]","[3.462565670819579, -1.23669323642416]",45.57134783651233,"[-104.8407425435069, 200.1202204399474]","[157.98302652903848, -37.39012731118781]"
2.1068050559541893,5.290416397833535,"[-2.4521640505136038, 2.9707894469920344]","[8.017834316099613, -7.791681140408217]","[2.5334679157216753, 4.255479234210938]","[-4.157024894423886, -2.8395286722078183]",25.397366657418154,"[61.996430709265546, 109.9517028749593]","[-97.60153748702646, -79.47135202654736]"
5.79673945070248,8.163958269697526,"[6.090785387886303, -7.32119362681356]","[-5.51720918125077, 6.122417442888132]","[4.241736353701992, -3.3665068897166828]","[2.6327377777430616, 3.475040304192179]",7.2857147532737345,"[36.85311399593054, -31.62687808314765]","[13.764817293194707, 31.28313655339764]"
9.170191435781664,8.713272946770857,"[1.065668067368362, -4.235773750152909]","[-1.437910059352694, -2.5205230936609757]","[3.5053753604882445, -3.1218755973424317]","[3.791201430009856, -4.27319647581203]",25.779851186673827,"[94.8603270345192, -99.18199068864257]","[92.69240588071003, -97.4596425512242]"
9.674628265583706,9.365673176208807,"[-2.8803706680743417, -7.591819928548331]","[3.7678442939056307, 5.120434371349598]","[-1.8111758112415277, 4.431711980836665]","[-4.31169576370002, -0.41343805020416546]",23.617532186837686,"[-85.20105871233537, -10.881176440233714]","[-57.21406648629214, 106.8727424135941]"
3.698584009232586,0.8015715481088165,"[-3.3843447694592843, 9.603900367901375]","[-0.3663202560305141, 5.48610505421385]","[0.14619556342857631, -1.8668660152849883]","[-1.918209615550671, -0.7944881541541964]",13.63579035109017,"[-4.1300391978850355, -18.011123310475895]","[-13.883563888797251, 4.613831034100495]"
9.216926721130926,3.572309017290945,"[-4.620063377447896, 8.46011807268576]","[-0.14960762342203004, -7.770093922580359]","[3.9086802730156975, -4.825929937275706]","[-0.5381125220165419, -2.5377103021959257]",31.693859571681152,"[117.22975456820944, -146.5797042871718]","[-11.963388239680732, -82.8140222896125]"
3.2879544713321374,6.180960823806245,"[0.3323414753099492, 9.77316636487961]","[-1.2241804404600938, 4.545583340742343]","[0.09822309845644828, -3.324178445446002]","[-1.3565262148920922, -2.6798032933253446]",30.151972373195264,"[-31.342415994615287, -89.34204984209238]","[-23.70134312612836, -76.84906485682441]"
3.514299093259733,8.432160782710467,"[8.61933184819349, 5.583721895077268]","[1.62302128221115, -3.4777239495369194]","[2.8731171395736377, 3.055753458853479]","[-0.1454101116548836, -3.4982091897029832]",5.763844165496006,"[24.989511288084508, 22.909476980060944]","[0.8640953214932022, -23.521187780826047]"
6.459271681174636,8.751934400968468,"[7.177379482984115, 3.713265235144389]","[9.902677803337287, -6.370467931858508]","[1.9752169674718045, 1.0954171182301202]","[-0.25260033329278286, 0.7083758698061571]",17.19366840611171,"[38.604870331186085, 16.420650703693358]","[7.429547274208822, 10.330970448150577]"
8.216468849470706,9.782470164842746,"[-4.477667696109009, -8.955739990952294]","[7.747133431762219, 0.6773724555414606]","[4.682365119226862, -1.2993680357144735]","[4.161500838177446, -0.6531995419628238]",15.575897854914988,"[71.36389700324155, -24.819929869729926]","[70.12248509752807, -13.17112890711651]"
